=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      スケール比: 0.0234
    オノマトペ14: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 78x36
      配置位置: (629,245)
      スケール: 0.001835
      スケール比: 0.0508
    オノマトペ15: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 134x70
      配置位置: (118,246)
      スケール: 0.006026
      スケール比: 0.0872

画像 004.png:
  背景ファイル: 004.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 30x54
      配置位置: (1090,784)
      スケール: 0.001045
      スケール比: 0.0195
    オノマトペ2: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 18x50
      配置位置: (257,131)
      スケール: 0.000580
      スケール比: 0.0117
    オノマトペ3: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 16x46
      配置位置: (1351,486)
      スケール: 0.000500
      スケール比: 0.0104

画像 005.png:
  背景ファイル: 005.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 83x46
      配置位置: (1080,893)
      スケール: 0.002462
      スケール比: 0.0540
    オノマトペ2: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 32x73
      配置位置: (1242,433)
      スケール: 0.001528
      スケール比: 0.0208

画像 006.png:
  背景ファイル: 006.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 86x49
      配置位置: (1375,665)
      スケール: 0.002709
      スケール比: 0.0560
    オノマトペ2: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 91x256
      配置位置: (764,448)
      スケール: 0.016166
      スケール比: 0.0592
    オノマトペ3: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 73x28
      配置位置: (1059,462)
      スケール: 0.001313
      スケール比: 0.0475
    オノマトペ4: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 81x20
      配置位置: (247,253)
      スケール: 0.001051
      スケール比: 0.0527

画像 007.png:
  背景ファイル: 007.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 106x40
      配置位置: (43,602)
      スケール: 0.002783
      スケール比: 0.0690
    オノマトペ2: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 17x50
      配置位置: (1134,235)
      スケール: 0.000568
      スケール比: 0.0111
    オノマトペ3: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 21x56
      配置位置: (1205,225)
      スケール: 0.000773
      スケール比: 0.0137

画像 008.png:
  背景ファイル: 008.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 24x58
      配置位置: (438,552)
      スケール: 0.000913
      スケール比: 0.0156
    オノマトペ2: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 75x23
      配置位置: (270,740)
      スケール: 0.001147
      スケール比: 0.0488
    オノマトペ3: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 17x51
      配置位置: (1169,590)
      スケール: 0.000594
      スケール比: 0.0111
    オノマトペ4: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 54x27
      配置位置: (968,248)
      スケール: 0.000947
      スケール比: 0.0352
    オノマトペ5: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 32x102
      配置位置: (968,826)
      スケール: 0.002096
      スケール比: 0.0208
    オノマトペ6: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 80x34
      配置位置: (833,194)
      スケール: 0.001743
      スケール比: 0.0521
    オノマトペ7: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 54x23
      配置位置: (193,99)
      スケール: 0.000810
      スケール比: 0.0352
    オノマトペ8: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 27x61
      配置位置: (1349,441)
      スケール: 0.001079
      スケール比: 0.0176
    オノマトペ9: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 96x53
      配置位置: (725,433)
      スケール: 0.003279
      スケール比: 0.0625
    オノマトペ10: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 22x61
      配置位置: (841,478)
      スケール: 0.000879
      スケール比: 0.0143
    オノマトペ11: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 23x47
      配置位置: (1493,55)
      スケール: 0.000692
      スケール比: 0.0150
    オノマトペ12: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 44x24
      配置位置: (1379,669)
      スケール: 0.000691
      スケール比: 0.0286
    オノマトペ13: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 136x77
      配置位置: (1323,100)
      スケール: 0.006671
      スケール比: 0.0885
    オノマトペ14: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 145x34
      配置位置: (124,412)
      スケール: 0.003218
      スケール比: 0.0944
    オノマトペ15: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 110x25
      配置位置: (694,819)
      スケール: 0.001787
      スケール比: 0.0716

画像 009.png:
  背景ファイル: 009.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 17x69
      配置位置: (864,187)
      スケール: 0.000788
      スケール比: 0.0111
    オノマトペ2: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 91x21
      配置位置: (570,473)
      スケール: 0.001230
      スケール比: 0.0592
    オノマトペ3: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 95x53
      配置位置: (511,895)
      スケール: 0.003256
      スケール比: 0.0618
    オノマトペ4: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 43x18
      配置位置: (154,453)
      スケール: 0.000500
      スケール比: 0.0280
    オノマトペ5: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 48x27
      配置位置: (1127,100)
      スケール: 0.000838
      スケール比: 0.0312

画像 010.png:
  背景ファイル: 010.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 26x80
      配置位置: (191,771)
      スケール: 0.001381
      スケール比: 0.0169
    オノマトペ2: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 24x69
      配置位置: (484,170)
      スケール: 0.001097
      スケール比: 0.0156

画像 011.png:
  背景ファイル: 011.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 27x61
      配置位置: (776,2)
      スケール: 0.001070
      スケール比: 0.0176
    オノマトペ2: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 16x46
      配置位置: (799,271)
      スケール: 0.000500
      スケール比: 0.0104
    オノマトペ3: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 97x48
      配置位置: (931,292)
      スケール: 0.003014
      スケール比: 0.0632
    オノマトペ4: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 120x69
      配置位置: (866,713)
      スケール: 0.005294
      スケール比: 0.0781
    オノマトペ5: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 53x120
      配置位置: (1138,677)
      スケール: 0.004089
      スケール比: 0.0345
    オノマトペ6: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 16x46
      配置位置: (1471,498)
      スケール: 0.000500
      スケール比: 0.0104
    オノマトペ7: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 48x20
      配置位置: (317,194)
      スケール: 0.000637
      スケール比: 0.0312
    オノマトペ8: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 42x18
      配置位置: (607,222)
      スケール: 0.000500
      スケール比: 0.0273
    オノマトペ9: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 34x61
      配置位置: (119,593)
      スケール: 0.001357
      スケール比: 0.0221

画像 012.png:
  背景ファイル: 012.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 30x88
      配置位置: (1087,161)
      スケール: 0.001739
      スケール比: 0.0195
    オノマトペ2: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 81x28
      配置位置: (116,983)
      スケール: 0.001474
      スケール比: 0.0527
    オノマトペ3: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 33x100
      配置位置: (1040,82)
      スケール: 0.002127
      スケール比: 0.0215
    オノマトペ4: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 42x21
      配置位置: (380,70)
      スケール: 0.000583
      スケール比: 0.0273
    オノマトペ5: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 15x50
      配置位置: (1218,69)
      スケール: 0.000503
      スケール比: 0.0098

画像 013.png:
  背景ファイル: 013.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 91x71
      配置位置: (1195,578)
      スケール: 0.004146
      スケール比: 0.0592
    オノマトペ2: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 127x31
      配置位置: (1070,323)
      スケール: 0.002587
      スケール比: 0.0827
    オノマトペ3: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 69x38
      配置位置: (534,209)
      スケール: 0.001684
      スケール比: 0.0449
    オノマトペ4: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 105x24
      配置位置: (1371,733)
      スケール: 0.001639
      スケール比: 0.0684
    オノマトペ5: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 26x58
      配置位置: (643,244)
      スケール: 0.000971
      スケール比: 0.0169
    オノマトペ6: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 179x68
      配置位置: (543,405)
      スケール: 0.007853
      スケール比: 0.1165
    オノマトペ7: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 103x44
      配置位置: (268,687)
      スケール: 0.002918
      スケール比: 0.0671
    オノマトペ8: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 77x29
      配置位置: (1321,307)
      スケール: 0.001464
      スケール比: 0.0501
    オノマトペ9: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 30x84
      配置位置: (936,323)
      スケール: 0.001655
      スケール比: 0.0195
    オノマトペ10: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 65x37
      配置位置: (148,9)
      スケール: 0.001563
      スケール比: 0.0423
    オノマトペ11: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 138x33
      配置位置: (938,636)
      スケール: 0.002913
      スケール比: 0.0898

画像 014.png:
  背景ファイル: 014.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 17x62
      配置位置: (1101,218)
      スケール: 0.000673
      スケール比: 0.0111
    オノマトペ2: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 77x24
      配置位置: (1036,271)
      スケール: 0.001216
      スケール比: 0.0501

画像 015.png:
  背景ファイル: 015.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 52x114
      配置位置: (1112,720)
      スケール: 0.003801
      スケール比: 0.0339
    オノマトペ2: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 68x13
      配置位置: (619,626)
      スケール: 0.000610
      スケール比: 0.0443
    オノマトペ3: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 39x111
      配置位置: (1339,541)
      スケール: 0.002834
      スケール比: 0.0254
    オノマトペ4: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 63x14
      配置位置: (16,683)
      スケール: 0.000583
      スケール比: 0.0410
    オノマトペ5: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 24x66
      配置位置: (1135,306)
      スケール: 0.001024
      スケール比: 0.0156
    オノマトペ6: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 90x49
      配置位置: (1358,106)
      スケール: 0.002844
      スケール比: 0.0586
    オノマトペ7: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 53x94
      配置位置: (275,270)
      スケール: 0.003177
      スケール比: 0.0345
    オノマトペ8: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 45x17
      配置位置: (236,911)
      スケール: 0.000500
      スケール比: 0.0293

画像 016.png:
  背景ファイル: 016.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 19x76
      配置位置: (416,703)
      スケール: 0.000952
      スケール比: 0.0124
    オノマトペ2: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 70x47
      配置位置: (1298,873)
      スケール: 0.002108
      スケール比: 0.0456
    オノマトペ3: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 38x81
      配置位置: (540,517)
      スケール: 0.002020
      スケール比: 0.0247
    オノマトペ4: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 82x45
      配置位置: (1000,257)
      スケール: 0.002397
      スケール比: 0.0534
    オノマトペ5: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 45x17
      配置位置: (104,94)
      スケール: 0.000500
      スケール比: 0.0293
    オノマトペ6: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 31x62
      配置位置: (1299,433)
      スケール: 0.001248
      スケール比: 0.0202
    オノマトペ7: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 72x39
      配置位置: (566,45)
      スケール: 0.001823
      スケール比: 0.0469
    オノマトペ8: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 63x34
      配置位置: (7,341)
      スケール: 0.001390
      スケール比: 0.0410

画像 017.png:
  背景ファイル: 017.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 12
    オノマトペ1: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 52x114
      配置位置: (305,558)
      スケール: 0.003799
      スケール比: 0.0339
    オノマトペ2: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 32x72
      配置位置: (73,854)
      スケール: 0.001482
      スケール比: 0.0208
    オノマトペ3: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 49x56
      配置位置: (756,596)
      スケール: 0.001793
      スケール比: 0.0319
    オノマトペ4: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 24x64
      配置位置: (1131,151)
      スケール: 0.001009
      スケール比: 0.0156
    オノマトペ5: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 92x51
      配置位置: (880,130)
      スケール: 0.002998
      スケール比: 0.0599
    オノマトペ6: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 57x31
      配置位置: (85,315)
      スケール: 0.001160
      スケール比: 0.0371
    オノマトペ7: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 126x72
      配置位置: (746,920)
      スケール: 0.005812
      スケール比: 0.0820
    オノマトペ8: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 48x134
      配置位置: (81,366)
      スケール: 0.004127
      スケール比: 0.0312
    オノマトペ9: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 39x94
      配置位置: (430,698)
      スケール: 0.002344
      スケール比: 0.0254
    オノマトペ10: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 42x122
      配置位置: (511,682)
      スケール: 0.003301
      スケール比: 0.0273
    オノマトペ11: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 21x69
      配置位置: (210,362)
      スケール: 0.000973
      スケール比: 0.0137
    オノマトペ12: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 68x13
      配置位置: (1146,905)
      スケール: 0.000609
      スケール比: 0.0443

画像 018.png:
  背景ファイル: 018.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 47x108
      配置位置: (367,754)
      スケール: 0.003249
      スケール比: 0.0306
    オノマトペ2: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 67x45
      配置位置: (680,801)
      スケール: 0.001960
      スケール比: 0.0436
    オノマトペ3: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 84x65
      配置位置: (843,821)
      スケール: 0.003559
      スケール比: 0.0547
    オノマトペ4: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 47x54
      配置位置: (1371,884)
      スケール: 0.001659
      スケール比: 0.0306
    オノマトペ5: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 53x147
      配置位置: (508,273)
      スケール: 0.004994
      スケール比: 0.0345
    オノマトペ6: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 135x33
      配置位置: (221,391)
      スケール: 0.002920
      スケール比: 0.0879
    オノマトペ7: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 101x50
      配置位置: (79,879)
      スケール: 0.003284
      スケール比: 0.0658
    オノマトペ8: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 43x82
      配置位置: (963,227)
      スケール: 0.002256
      スケール比: 0.0280
    オノマトペ9: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 17x45
      配置位置: (942,358)
      スケール: 0.000500
      スケール比: 0.0111
    オノマトペ10: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 70x40
      配置位置: (625,840)
      スケール: 0.001817
      スケール比: 0.0456
    オノマトペ11: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 25x71
      配置位置: (466,228)
      スケール: 0.001150
      スケール比: 0.0163

画像 019.png:
  背景ファイル: 019.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 94x41
      配置位置: (142,791)
      スケール: 0.002519
      スケール比: 0.0612
    オノマトペ2: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 102x56
      配置位置: (571,359)
      スケール: 0.003691
      スケール比: 0.0664
    オノマトペ3: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 116x29
      配置位置: (1313,521)
      スケール: 0.002143
      スケール比: 0.0755
    オノマトペ4: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 57x13
      配置位置: (818,695)
      スケール: 0.000500
      スケール比: 0.0371
    オノマトペ5: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 78x44
      配置位置: (1098,339)
      スケール: 0.002196
      スケール比: 0.0508
    オノマトペ6: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 38x85
      配置位置: (56,118)
      スケール: 0.002096
      スケール比: 0.0247

画像 020.png:
  背景ファイル: 020.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 44x101
      配置位置: (1047,118)
      スケール: 0.002903
      スケール比: 0.0286
    オノマトペ2: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 13x59
      配置位置: (788,921)
      スケール: 0.000500
      スケール比: 0.0085
    オノマトペ3: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 28x57
      配置位置: (1180,194)
      スケール: 0.001061
      スケール比: 0.0182
    オノマトペ4: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 16x53
      配置位置: (521,45)
      スケール: 0.000575
      スケール比: 0.0104
    オノマトペ5: 080.png
